ID_CENSO;Date;SECTOR;Species;Individuals;Notes;Starting time;Finishing time;Cloudiness;Wind speed;Wind direction;Waves
CP19930505;05-may-93;ZACA;Calidris alba;67;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;ZACA;Charadrius alexandrinus;6;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;ZACA;Corvus corax;1;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;ZACA;Pluvialis squatarola;11;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;ZACA;Sternula albifrons;5;-;10:10;9:50;4;1;W;2
CP19930510;10-may-93;CAMA;Calidris alba;6;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;CAMA;Milvus migrans;1;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Calidris alba;34;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Charadrius alexandrinus;2;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Chroicocephalus genei;3;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Corvus corax;3;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Haematopus ostralegus;82;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Larus sp.;192;L.fuscus / L.michahellis;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Limosa lapponica;2;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Milvus migrans;6;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Sterna hirundo;10;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Sterna sandvicensis;25;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;MAZA;Sternula albifrons;30;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;ZACA;Calidris alba;55;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;ZACA;Haematopus ostralegus;3;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;ZACA;Larus fuscus;1;-;11:00;12:15;-;-;-;-
CP19930510;10-may-93;ZACA;Sterna sandvicensis;28;-;11:00;12:15;-;-;-;-
CP19930517;17-may-93;CAMA;Calidris alba;2;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;CAMA;Charadrius alexandrinus;1;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;CAMA;Chroicocephalus genei;1;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;CAMA;Larus michahellis;1;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;CAMA;Larus sp.;60;L.fuscus / L.michahellis;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Calidris alba;22;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Chroicocephalus genei;1;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Haematopus ostralegus;76;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Larus michahellis;22;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Larus sp.;173;L.fuscus / L.michahellis;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Sterna hirundo;1;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Sterna sandvicensis;1;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;MAZA;Sternula albifrons;7;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;ZACA;Calidris alba;10;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;ZACA;Haematopus ostralegus;16;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;ZACA;Larus michahellis;1;-;17:25;18:15;-;-;-;-
CP19930517;17-may-93;ZACA;Larus sp.;18;L.fuscus / L.michahellis;17:25;18:15;-;-;-;-
CP19930517;17-may-93;ZACA;Sternula albifrons;9;-;17:25;18:15;-;-;-;-
CP19930802;02-ago-93;CAMA;Calidris alba;20;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;CAMA;Larus audouinii;2;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;CAMA;Larus fuscus;21;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;CAMA;Larus michahellis;17;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Charadrius alexandrinus;2;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Chroicocephalus ridibundus;10;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Haematopus ostralegus;24;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Larus audouinii;14;3 subadultos, 9 inmaduros, 2 jævenes;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Larus fuscus;276;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Larus michahellis;193;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Numenius phaeopus;2;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Sterna hirundo;2;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;MAZA;Sterna sandvicensis;25;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;ZACA;Haematopus ostralegus;7;-;10:20;9:55;0;1;NE;0
